name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
LeBron James,Cleveland Cavaliers,2/26/2016,2015,1966,1610612739,400828751,4,5,38,1,Alley Oop Dunk Shot,2PT Field Goal,0,Toronto Raptors,0,1,0,0,,0,0
LeBron James,Miami Heat,6/3/2012,2011,1966,1610612748,320603002,1,2,1,1,Alley Oop Dunk Shot,2PT Field Goal,1,Boston Celtics,12,12,,,,,
LeBron James,Cleveland Cavaliers,12/21/2017,2017,1966,1610612739,400975217,1,11,6,1,Alley Oop Dunk Shot,2PT Field Goal,0,Chicago Bulls,3,0,0,0,,0,0
LeBron James,Miami Heat,10/30/2012,2012,1966,1610612748,400277722,2,5,52,1,Alley Oop Dunk Shot,2PT Field Goal,0,Boston Celtics,0,9,,,,,
LeBron James,Cleveland Cavaliers,4/3/2016,2015,1966,1610612739,400829031,4,2,9,1,Alley Oop Dunk Shot,2PT Field Goal,0,Charlotte Hornets,0,1,0,0,,0,0
LeBron James,Miami Heat,11/15/2012,2012,1966,1610612748,400277841,1,4,10,1,Alley Oop Dunk Shot,2PT Field Goal,0,Denver Nuggets,0,1,,,,,
LeBron James,Cleveland Cavaliers,10/25/2016,2016,1966,1610612739,400899375,2,7,33,1,Alley Oop Dunk Shot,2PT Field Goal,0,New York Knicks,0,1,0,0,,0,0
LeBron James,Miami Heat,11/12/2012,2012,1966,1610612748,400277819,1,10,26,1,Alley Oop Dunk Shot,2PT Field Goal,1,Houston Rockets,15,4,,,,,
LeBron James,Cleveland Cavaliers,6/8/2016,2015,1966,1610612739,400878156,3,2,44,1,Alley Oop Dunk Shot,2PT Field Goal,0,Golden State Warriors,0,1,0,0,,0,0
LeBron James,Miami Heat,12/6/2012,2012,1966,1610612748,400277988,2,4,45,1,Alley Oop Dunk Shot,2PT Field Goal,0,New York Knicks,4,9,,,,,
LeBron James,Cleveland Cavaliers,3/17/2018,2017,1966,1610612739,400975785,1,8,16,1,Alley Oop Dunk Shot,2PT Field Goal,0,Chicago Bulls,4,1,0,0,,0,0
LeBron James,Miami Heat,11/7/2012,2012,1966,1610612748,400277776,1,11,21,1,Alley Oop Dunk Shot,2PT Field Goal,0,Brooklyn Nets,-4,9,,,,,
LeBron James,Cleveland Cavaliers,6/16/2016,2015,1966,1610612739,400878159,3,4,40,1,Alley Oop Dunk Shot,2PT Field Goal,0,Golden State Warriors,0,1,0,0,,0,0
LeBron James,Miami Heat,12/10/2012,2012,1966,1610612748,400278020,4,9,51,1,Alley Oop Dunk Shot,2PT Field Goal,0,Atlanta Hawks,6,3,,,,,
LeBron James,Cleveland Cavaliers,10/17/2017,2017,1966,1610612739,400974437,4,2,24,1,Alley Oop Dunk Shot,2PT Field Goal,1,Boston Celtics,2,16,0,0,,0,0
LeBron James,Miami Heat,5/28/2012,2011,1966,1610612748,320528014,1,5,12,1,Alley Oop Dunk Shot,2PT Field Goal,0,Boston Celtics,6,7,,,,,
LeBron James,Cleveland Cavaliers,2/1/2017,2016,1966,1610612739,400899369,2,4,8,1,Alley Oop Dunk Shot,2PT Field Goal,0,Minnesota Timberwolves,0,1,0,0,,0,0
LeBron James,Miami Heat,12/8/2012,2012,1966,1610612748,400278006,3,8,41,1,Alley Oop Dunk Shot,2PT Field Goal,0,New Orleans Pelicans,3,8,,,,,
LeBron James,Cleveland Cavaliers,12/7/2016,2016,1966,1610612739,400899769,3,10,17,1,Alley Oop Dunk Shot,2PT Field Goal,0,New York Knicks,0,1,0,0,,0,0
LeBron James,Miami Heat,12/17/2010,2010,1966,1610612748,301217018,2,0,38,1,Alley Oop Dunk Shot,2PT Field Goal,2,New York Knicks,18,15,,,,,
LeBron James,Cleveland Cavaliers,12/23/2016,2016,1966,1610612739,400899886,3,4,57,1,Alley Oop Dunk Shot,2PT Field Goal,0,Brooklyn Nets,0,1,0,0,,0,0
LeBron James,Miami Heat,4/6/2012,2011,1966,1610612748,320406014,1,6,36,1,Alley Oop Dunk Shot,2PT Field Goal,0,Memphis Grizzlies,-3,8,,,,,
LeBron James,Cleveland Cavaliers,1/27/2016,2015,1966,1610612739,400828571,3,6,55,1,Alley Oop Dunk Shot,2PT Field Goal,0,Phoenix Suns,0,1,0,0,,0,0
LeBron James,Miami Heat,4/10/2012,2011,1966,1610612748,320410014,1,4,49,1,Alley Oop Dunk Shot,2PT Field Goal,0,Boston Celtics,-2,6,,,,,
LeBron James,Cleveland Cavaliers,1/2/2016,2015,1966,1610612739,400828386,1,9,47,1,Alley Oop Dunk Shot,2PT Field Goal,0,Orlando Magic,0,1,0,0,"Fournier, Evan",5.1,21.3
LeBron James,Miami Heat,3/9/2014,2013,1966,1610612748,400489807,2,4,33,1,Alley Oop Dunk Shot,2PT Field Goal,1,Chicago Bulls,-19,0,1,3,"Augustin, D.J.",2,20
LeBron James,Cleveland Cavaliers,11/13/2017,2017,1966,1610612739,400974944,1,0,40,1,Alley Oop Dunk Shot,2PT Field Goal,0,New York Knicks,-3,-2,0,0,,0,0
LeBron James,Miami Heat,4/13/2012,2011,1966,1610612748,320413014,1,0,56,1,Alley Oop Dunk Shot,2PT Field Goal,0,Charlotte Hornets,2,9,,,,,
LeBron James,Cleveland Cavaliers,12/2/2016,2016,1966,1610612739,400899728,2,1,44,1,Alley Oop Dunk Shot,2PT Field Goal,0,Chicago Bulls,0,1,0,0,,0,0
LeBron James,Miami Heat,4/13/2012,2011,1966,1610612748,320413014,2,0,30,0,Alley Oop Dunk Shot,2PT Field Goal,0,Charlotte Hornets,-4,-1,,,,,
