slang_code_word,drug,drug2,drug3,,,,,
7,Cocaine ,,,,,,,
30s ,"Oxycodone (Oxycontin®, Roxicodone®, Oxaydo®) ",,,,,,,
40s ,"Oxycodone (Oxycontin®, Roxicodone®, Oxaydo®) ",,,,,,,
51s ,Crack Cocaine ,,,,,,,
62,Cocaine ,,,,,,,
77,Cocaine ,,,,,,,
151s ,Crack Cocaine ,,,,,,,
357s ,"Hydrocodone (Norco®, Vicodin®, Lorcet®) ",,,,,,,
420,Marijuana, Synthetic Cannabinoids ,,,,,,
501s ,Crack Cocaine ,,,,,,,
512s ,Acetaminophen and Oxycodone Combination (Percocet®), Oxycodone  ,,,,,,
542,Flunitrazepam (Rohypnol®) ,,,,,,,
710,Marijuana Concentrates/Hash Oil ,,,,,,,
777,Cocaine ,,,,,,,
921,Cocaine ,,,,,,,
A-1  ,Cocaine ,,,,,,,
Abajo ,Heroin ,,,,,,,
Abby ,Amphetamine and Dextroamphetamine Combination (Adderall®) ,,,,,,,
A-Bomb ,Heroin mixed with Marijuana ,,,,,,,
Abyss ,Synthetic Cannabinoids ,,,,,,,
Abyssian Tea ,Khat ,,,,,,,
Acapulco Gold ,Marijuana ,,,,,,,
Acapulco Red ,Marijuana ,,,,,,,
Accordion ,Methamphetamine ,,,,,,,
Ace ,Marijuana, PCP (Phencyclidine) ,,,,,,
Ace of Spades ,Synthetic Cannabinoids ,,,,,,,
Aceite ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Acelerador ,Amphetamine ,,,,,,,
Acelide ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Achivia ,Heroin ,,,,,,,
Acid ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Acido ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Act ,Promethazine ,,,,,,,
Adam ,Ecstasy/MDMA/Molly ,,,,,,,
Addy ,Amphetamine and Dextroamphetamine Combination (Adderall®) ,,,,,,,
Adidas ,Cocaine ,,,,,,,
Adormidera ,Heroin ,,,,,,,
African Black ,Marijuana ,,,,,,,
African Bush ,Marijuana ,,,,,,,
African Salad ,Khat ,,,,,,,
Ah-Pen-Yen ,Opium ,,,,,,,
Airplane ,Marijuana ,,,,,,,
AK-47 ,Synthetic Cannabinoids ,,,,,,,
Alfalfa ,Marijuana ,,,,,,,
Alfombra ,Marijuana ,,,,,,,
Alice ,LSD (Lysergic Acid Diethylamide), Psilocybin Mushrooms ,,,,,,
Alice B Toklas ,Marijuana ,,,,,,,
Alien Sex Fiend ,PCP mixed with Heroin ,,,,,,,
All-American Drug ,Cocaine ,,,,,,,
